window_label,event_type,detected_index,published_index,detected_age_ka,published_age_ka,age_error_ka,abs_age_error_ka,tolerance_ka,d_cut,sigma_cut,change_cut_setting
0.4-4,weak_monsoon_start,98,100,26.65,26.65,0.0,0.0,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,120,122,98.65,98.65,0.0,0.0,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,133,138,166.8,166.8,0.0,0.0,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,109,111,45.72975,45.73,-0.0002499999999940883,0.0002499999999940883,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,96,97,12.77875,12.779,-0.00024999999999941735,0.00024999999999941735,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,118,120,77.50971874999999,77.51,-0.0002812500000146656,0.0002812500000146656,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,95,96,3.49957375,3.5,-0.00042624999999985036,0.00042624999999985036,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,114,116,68.65435,68.655,-0.0006500000000073669,0.0006500000000073669,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,119,121,88.4242,88.425,-0.0007999999999981355,0.0007999999999981355,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,115,117,69.576,69.575,0.000999999999990564,0.000999999999990564,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,113,115,56.318749999999994,56.32,-0.0012500000000059686,0.0012500000000059686,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,99,101,27.5565,27.555,0.0015000000000000568,0.0015000000000000568,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,106,108,39.9567,39.955,0.0016999999999995907,0.0016999999999995907,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,116,118,70.1533,70.155,-0.0016999999999995907,0.0016999999999995907,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,102,104,31.972749999999998,31.975,-0.002250000000003638,0.002250000000003638,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,103,105,33.417500000000004,33.42,-0.0024999999999977263,0.0024999999999977263,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,125,129,135.5525,135.55,0.0024999999999977263,0.0024999999999977263,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,97,99,24.5925,24.59,0.002500000000001279,0.002500000000001279,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,110,112,48.4734,48.47,0.0033999999999991815,0.0033999999999991815,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,188,189,569.4961000000001,569.5,-0.0038999999999305146,0.0038999999999305146,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,145,149,228.64578952007938,228.65,-0.00421047992062995,0.00421047992062995,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,163,165,364.34450000000004,364.35,-0.005499999999983629,0.005499999999983629,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,181,183,521.93825,521.95,-0.011750000000006366,0.011750000000006366,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,151,155,256.0625,256.05,0.012499999999988631,0.012499999999988631,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,166,170,371.9625,371.95,0.012499999999988631,0.012499999999988631,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,156,161,318.0365,318.05,-0.013500000000021828,0.013500000000021828,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,111,113,48.9349,48.92,0.014899999999997249,0.014899999999997249,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,138,143,187.765,187.75,0.014999999999986358,0.014999999999986358,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,136,141,174.865,174.85,0.01500000000001478,0.01500000000001478,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,187,188,560.4336,560.45,-0.016400000000089676,0.016400000000089676,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,162,164,349.5665,349.55,0.01650000000000773,0.01650000000000773,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,152,156,259.629,259.65,-0.020999999999958163,0.020999999999958163,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,144,148,221.02880523543064,221.05,-0.021194764569372637,0.021194764569372637,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,126,130,139.3285,139.35,-0.021500000000003183,0.021500000000003183,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,154,158,281.42185,281.4,0.021850000000029013,0.021850000000029013,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,159,163,341.126,341.15,-0.02400000000000091,0.02400000000000091,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,140,145,193.275,193.25,0.025000000000005684,0.025000000000005684,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,141,146,201.125,201.15,-0.025000000000005684,0.025000000000005684,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,178,180,479.02443010189745,479.05,-0.025569898102560273,0.025569898102560273,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,169,172,398.8242668639125,398.85,-0.025733136087524144,0.025733136087524144,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,176,178,467.37594293626796,467.35,0.02594293626793842,0.02594293626793842,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,124,128,133.28,133.25,0.030000000000001137,0.030000000000001137,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,135,140,171.01999999999998,171.05,-0.03000000000002956,0.03000000000002956,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,164,166,367.3805,367.35,0.03049999999996089,0.03049999999996089,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,122,126,117.41724390302811,117.45,-0.03275609697189452,0.03275609697189452,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,153,157,276.91610000000003,276.95,-0.03389999999996007,0.03389999999996007,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,186,187,556.9153,556.95,-0.034700000000043474,0.034700000000043474,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,130,135,158.985,158.95,0.03500000000002501,0.03500000000002501,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,182,184,534.96475,535.0,-0.0352500000000191,0.0352500000000191,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,146,150,232.6122120849276,232.65,-0.03778791507241408,0.03778791507241408,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,194,194,635.16125,635.2,-0.03875000000005002,0.03875000000005002,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,101,103,30.45975,30.42,0.039749999999997954,0.039749999999997954,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,142,147,209.21,209.25,-0.03999999999999204,0.03999999999999204,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,134,139,170.20999999999998,170.25,-0.040000000000020464,0.040000000000020464,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,104,106,34.699,34.75,-0.05100000000000193,0.05100000000000193,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,117,119,73.34795,73.4,-0.05205000000000837,0.05205000000000837,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,139,144,191.805,191.75,0.05500000000000682,0.05500000000000682,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,112,114,55.16625,55.23,-0.06374999999999886,0.06374999999999886,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,127,131,142.618,142.55,0.06799999999998363,0.06799999999998363,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,107,109,42.3922,42.475,-0.08279999999999887,0.08279999999999887,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,137,142,179.735,179.65,0.08500000000000796,0.08500000000000796,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,100,102,28.62925,28.715,-0.08575000000000088,0.08575000000000088,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,147,152,246.858,246.75,0.10800000000000409,0.10800000000000409,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,150,154,252.2665,252.15,0.11650000000000205,0.11650000000000205,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,128,132,143.9715,143.85,0.1214999999999975,0.1214999999999975,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,184,185,552.8218,552.7,0.12180000000000746,0.12180000000000746,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,157,162,324.273,324.15,0.1230000000000473,0.1230000000000473,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,192,192,628.8722,629.0,-0.12779999999997926,0.12779999999997926,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,185,186,554.3449,554.2,0.1449000000000069,0.1449000000000069,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,177,179,475.20481637943385,475.35,-0.14518362056617207,0.14518362056617207,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,175,177,460.0043806544999,460.15,-0.14561934550005162,0.14561934550005162,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,105,107,36.604,36.75,-0.1460000000000008,0.1460000000000008,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,108,110,44.304249999999996,44.485,-0.1807500000000033,0.1807500000000033,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,148,153,249.8535,250.05,-0.19650000000001455,0.19650000000001455,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,131,136,162.2,162.0,0.19999999999998863,0.19999999999998863,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,168,171,378.8515,378.65,0.20150000000001,0.20150000000001,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,195,195,638.97825,639.2,-0.22175000000004275,0.22175000000004275,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,165,168,369.307,369.55,-0.242999999999995,0.242999999999995,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,180,181,500.3443589192743,500.1,0.24435891927430475,0.24435891927430475,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,121,125,106.10291867522108,106.35,-0.2470813247789181,0.2470813247789181,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,173,175,453.79803214260227,453.55,0.2480321426022556,0.2480321426022556,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,174,176,457.3499345520379,457.6,-0.25006544796212893,0.25006544796212893,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,132,137,165.42000000000002,165.15,0.27000000000001023,0.27000000000001023,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,171,173,430.43603283111156,430.15,0.2860328311115836,0.2860328311115836,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,123,127,120.84026548640617,120.55,0.2902654864061702,0.2902654864061702,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,129,133,146.575,147.05,-0.47500000000002274,0.47500000000002274,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,193,193,631.7891,632.3,-0.5108999999999924,0.5108999999999924,0.8,0.7,1.5,default
0.4-4,weak_monsoon_start,189,190,590.56005,589.8,0.760050000000092,0.760050000000092,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,3,199,29.43,29.43,0.0,0.0,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,27,222,157.05,157.05,0.0,0.0,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,31,225,168.75,168.75,0.0,0.0,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,34,228,176.25,176.25,0.0,0.0,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,64,260,458.90002063725,458.9,2.0637250031541043e-05,2.0637250031541043e-05,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,20,215,89.79012499999999,89.79,0.0001249999999828333,0.0001249999999828333,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,1,197,14.61675,14.617,-0.0002500000000011937,0.0002500000000011937,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,18,214,84.030275,84.03,0.0002750000000020236,0.0002750000000020236,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,17,213,76.2457,76.245,0.0006999999999948159,0.0006999999999948159,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,15,211,72.2859,72.285,0.0009000000000014552,0.0009000000000014552,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,81,275,593.90095,593.9,0.0009499999999889042,0.0009499999999889042,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,12,208,58.211200000000005,58.21,0.0012000000000043087,0.0012000000000043087,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,47,241,264.0017,264.0,0.0017000000000280124,0.0017000000000280124,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,13,209,59.7829,59.785,-0.0020999999999986585,0.0020999999999986585,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,4,200,32.67225,32.675,-0.00274999999999892,0.00274999999999892,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,5,201,34.06775,34.065,0.00274999999999892,0.00274999999999892,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,10,206,47.25275,47.25,0.00274999999999892,0.00274999999999892,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,7,203,38.308,38.305,0.0030000000000001137,0.0030000000000001137,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,54,250,365.6535,365.65,0.003500000000030923,0.003500000000030923,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,21,216,105.15378379352578,105.15,0.003783793525769852,0.003783793525769852,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,14,210,65.48384999999999,65.48,0.003849999999985698,0.003849999999985698,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,25,219,147.655,147.65,0.0049999999999954525,0.0049999999999954525,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,28,223,160.495,160.5,-0.0049999999999954525,0.0049999999999954525,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,77,271,561.2570499999999,561.25,0.007049999999935608,0.007049999999935608,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,86,281,633.30795,633.3,0.00795000000005075,0.00795000000005075,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,78,272,562.24095,562.25,-0.009050000000002001,0.009050000000002001,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,73,267,548.24005,548.25,-0.009950000000003456,0.009950000000003456,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,32,226,169.56,169.55,0.009999999999990905,0.009999999999990905,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,61,257,426.0392601558315,426.05,-0.010739844168483614,0.010739844168483614,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,75,269,555.66125,555.65,0.01125000000001819,0.01125000000001819,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,72,266,531.73785,531.75,-0.012150000000019645,0.012150000000019645,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,56,252,370.7645,370.75,0.014499999999998181,0.014499999999998181,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,76,270,559.1352,559.15,-0.014799999999922875,0.014799999999922875,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,55,251,368.115,368.1,0.014999999999986358,0.014999999999986358,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,45,239,251.166,251.15,0.015999999999991132,0.015999999999991132,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,49,243,293.9178,293.9,0.017800000000022465,0.017800000000022465,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,59,255,393.5816900862267,393.6,-0.018309913773350672,0.018309913773350672,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,29,224,163.82,163.8,0.01999999999998181,0.01999999999998181,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,33,227,173.13,173.15,-0.020000000000010232,0.020000000000010232,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,62,258,447.3791051375909,447.4,-0.02089486240907945,0.02089486240907945,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,46,240,258.772,258.75,0.02199999999999136,0.02199999999999136,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,68,264,484.1263100204097,484.15,-0.02368997959030139,0.02368997959030139,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,74,268,553.52405,553.55,-0.025949999999966167,0.025949999999966167,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,87,282,638.0735,638.1,-0.02650000000005548,0.02650000000005548,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,52,248,337.3835,337.35,0.03350000000000364,0.03350000000000364,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,8,204,41.6761,41.635,0.041100000000000136,0.041100000000000136,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,16,212,75.3285,75.28,0.048500000000004206,0.048500000000004206,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,36,230,182.5,182.55,-0.05000000000001137,0.05000000000001137,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,65,261,463.20418726370576,463.15,0.05418726370578497,0.05418726370578497,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,0,196,11.18636,11.129,0.057360000000000966,0.057360000000000966,0.8,0.7,1.5,default
0.6-4,strong_monsoon_start,66,262,466.00933331939416,465.95,0.0593333193941703,0.0593333193941703,0.8,0.7,1.5,default
