order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table,published_start_age_ka,event_index,event_type,event_label,event_short_label,color,source,age_error_2sigma_kyr,age_sigma_kyr,sampling_lower_bound_ka,sampling_upper_bound_ka,sampling_bound_width_ka,truncated_gaussian_mass_kept,rank_lower_midpoint_ka,rank_upper_midpoint_ka
11,41.595,41.595,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,41.635,-0.04,Rousseau et al. 2023 Scientific Reports Table 1,5,24,41.595,11,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.1389201365278123,0.5694600682639062,40.45607986347218,42.605000000000004,2.1489201365278205,0.9391860164124971,39.95,42.605000000000004
12,43.615,43.615,strong_monsoon_start,0.4-4,common_same_date,43.615,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,26,43.615,12,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.1461376682468436,0.5730688341234218,42.605000000000004,44.761137668246846,2.156137668246842,0.9382524584339308,42.605000000000004,45.432500000000005
13,47.25,47.25,strong_monsoon_start,0.4-4,common_same_date,47.25,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,29,47.25,13,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.159241042996251,0.5796205214981255,46.09075895700375,48.40924104299625,2.3184820859924997,0.9544997361036414,45.432500000000005,48.45
14,49.65,49.65,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,32,49.65,14,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.1679745168089515,0.5839872584044757,48.482025483191045,50.81797451680895,2.335949033617908,0.954499736103642,48.45,51.724999999999994
15,53.8,53.8,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,53.745,0.055,Rousseau et al. 2023 Scientific Reports Table 1,5,33,53.8,15,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.1832316918440746,0.5916158459220373,52.616768308155926,54.084999999999994,1.4682316918440677,0.6622515267286564,51.724999999999994,54.084999999999994
16,54.37,54.37,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,34,54.37,16,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.185342763745728,0.592671381872864,54.084999999999994,55.0575,0.9725000000000037,0.5616728270513794,54.084999999999994,55.0575
17,55.745,55.745,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,36,55.745,17,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.1904507755597424,0.5952253877798712,55.0575,56.93545077555974,1.8779507755597393,0.8532097035613412,55.0575,56.9775
18,58.21,58.21,strong_monsoon_start,0.4-4,common_same_date,58.21,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,38,58.21,18,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.199663212769045,0.5998316063845225,57.010336787230955,58.9975,1.9871632127690475,0.8826362306044068,56.9775,58.9975
19,59.785,59.785,strong_monsoon_start,0.4-4,common_same_date,59.785,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,39,59.785,19,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.2055867508834452,0.6027933754417226,58.9975,60.990586750883445,1.9930867508834424,0.8815446114116099,58.9975,62.6325
20,65.48,65.48,strong_monsoon_start,0.4-4,common_same_date,65.48,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,40,65.48,20,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.2272506512021177,0.6136253256010589,64.25274934879789,66.70725065120212,2.454501302404225,0.9544997361036407,62.6325,67.33000000000001
21,69.18,69.18,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,42,69.18,21,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.2415337136586593,0.6207668568293296,67.93846628634135,70.42153371365866,2.483067427317309,0.9544997361036407,67.33000000000001,70.7325
22,72.285,72.285,strong_monsoon_start,0.4-4,common_same_date,72.285,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,45,72.285,22,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.253648105063711,0.6268240525318555,71.03135189493628,73.53864810506371,2.5072962101274356,0.9544997361036427,70.7325,73.7825
23,75.28,75.28,strong_monsoon_start,0.4-4,common_same_date,75.28,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,47,75.28,23,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.2654453122236136,0.6327226561118068,74.01455468777638,75.7625,1.7479453122236208,0.7543921354730988,73.7825,75.7625
24,76.245,76.245,strong_monsoon_start,0.4-4,common_same_date,76.245,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,48,76.245,24,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.269270014170808,0.634635007085404,75.7625,77.51427001417082,1.7517700141708161,0.7537061082321417,75.7625,80.1875
25,84.13,84.13,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,84.03,0.1,Rousseau et al. 2023 Scientific Reports Table 1,5,51,84.13,25,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.3009578647113191,0.6504789323556596,82.82904213528867,84.565,1.7359578647113239,0.7254185663670746,80.1875,84.565
26,85.0,85.0,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,52,85.0,26,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.304502271859638,0.652251135929819,84.565,86.30450227185963,1.7395022718596351,0.7248385797716621,84.565,87.39500000000001
27,89.79,89.79,strong_monsoon_start,0.4-4,common_same_date,89.79,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,54,89.79,27,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.3241905902235755,0.6620952951117878,88.46580940977643,91.11419059022359,2.64838118044716,0.9544997361036422,87.39500000000001,97.47
28,105.15,105.15,strong_monsoon_start,0.4-4,common_same_date,105.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,57,105.15,28,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.3893512486655026,0.6946756243327513,103.7606487513345,106.53935124866551,2.778702497331011,0.954499736103642,97.47,106.85
29,108.55,108.55,strong_monsoon_start,0.4-4,common_same_date,108.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,60,108.55,29,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.4042028463785103,0.7021014231892552,107.14579715362149,109.95420284637851,2.8084056927570202,0.9544997361036416,106.85,118.55000000000001
30,128.55,128.55,strong_monsoon_start,0.4-4,common_same_date,128.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,63,128.55,30,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.494835282845229,0.7474176414226145,127.05516471715478,129.5,2.4448352828452187,0.8753932015024024,118.55000000000001,129.5
31,130.45,130.45,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,64,130.45,31,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.5037438761934758,0.7518719380967379,129.5,131.95374387619347,2.453743876193471,0.8740474368344254,129.5,139.05
32,147.65,147.65,strong_monsoon_start,0.4-4,common_same_date,147.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,71,147.65,32,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.5868448862616598,0.7934224431308299,146.06315511373833,148.35000000000002,2.28684488626169,0.788430092758503,139.05,148.35000000000002
33,149.05,149.05,strong_monsoon_start,0.4-4,common_same_date,149.05,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,72,149.05,33,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.5938077036944844,0.7969038518472422,148.35000000000002,150.4,2.049999999999983,0.7650092493841509,148.35000000000002,150.4
34,151.75,151.75,strong_monsoon_start,0.4-4,common_same_date,151.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,74,151.75,34,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.6073223844873759,0.8036611922436879,150.4,153.3573223844874,2.9573223844873837,0.9307529527834058,150.4,154.4
35,157.05,157.05,strong_monsoon_start,0.4-4,common_same_date,157.05,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,75,157.05,35,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.6341853779517461,0.8170926889758731,155.41581462204826,157.60000000000002,2.1841853779517635,0.7268138355623447,154.4,157.60000000000002
36,158.15,158.15,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,76,158.15,36,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.639816726836468,0.819908363418234,157.60000000000002,159.325,1.724999999999966,0.6729116605252016,157.60000000000002,159.325
37,160.5,160.5,strong_monsoon_start,0.4-4,common_same_date,160.5,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,78,160.5,37,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.651912439504206,0.825956219752103,159.325,162.15,2.825000000000017,0.8996975604195803,159.325,162.15
38,163.8,163.8,strong_monsoon_start,0.4-4,common_same_date,163.8,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,80,163.8,38,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.6690487185213503,0.8345243592606751,162.15,165.46904871852135,3.319048718521344,0.9532388944327014,162.15,166.275
39,168.75,168.75,strong_monsoon_start,0.4-4,common_same_date,168.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,83,168.75,39,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.69508687338656,0.84754343669328,167.05491312661343,169.15,2.0950868733865775,0.6587694186750004,166.275,169.15
40,169.55,169.55,strong_monsoon_start,0.4-4,common_same_date,169.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,84,169.55,40,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.6993330350664886,0.8496665175332443,169.15,171.2493330350665,2.0993330350665076,0.6583484209548963,169.15,171.35000000000002
41,173.15,173.15,strong_monsoon_start,0.4-4,common_same_date,173.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,87,173.15,41,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.718572776565044,0.859286388282522,171.43142722343495,174.7,3.268572776565037,0.941620288289595,171.35000000000002,174.7
42,176.25,176.25,strong_monsoon_start,0.4-4,common_same_date,176.25,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,89,176.25,42,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.7353147967798348,0.8676573983899174,174.7,177.1,2.4000000000000057,0.7993546910073295,174.7,177.1
43,177.95,177.95,strong_monsoon_start,0.4-4,common_same_date,177.95,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,90,177.95,43,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.7445650340207481,0.8722825170103741,177.1,179.69456503402074,2.5945650340207465,0.8123345148526029,177.1,180.25
44,182.55,182.55,strong_monsoon_start,0.4-4,common_same_date,182.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,92,182.55,44,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.7698430970728762,0.8849215485364381,180.78015690292713,184.3198430970729,3.5396861941457587,0.954499736103642,180.25,186.60000000000002
45,190.65,190.65,strong_monsoon_start,0.4-4,common_same_date,190.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,94,190.65,45,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.8152480610294899,0.9076240305147449,188.83475193897053,191.7,2.8652480610294617,0.8535864514044378,186.60000000000002,191.7
46,192.75,192.75,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,192.65,0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,96,192.75,46,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.8272086681819513,0.9136043340909756,191.7,194.57720866818195,2.8772086681819644,0.852032486998164,191.7,195.85
47,198.95,198.95,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,198.85,0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,98,198.95,47,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.862982733400893,0.9314913667004465,197.0870172665991,200.81298273340087,3.7259654668017674,0.9544997361036405,195.85,209.0
48,219.05,219.05,strong_monsoon_start,0.4-4,common_same_date,219.05,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,101,219.05,48,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.9838468409973211,0.9919234204986606,217.06615315900268,221.03384684099734,3.9676936819946604,0.9544997361036427,209.0,222.125
49,225.2,225.2,strong_monsoon_start,0.4-4,common_same_date,225.2,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,103,225.2,49,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.022371417999161,1.0111857089995806,223.17762858200084,227.22237141799914,4.044742835998306,0.9544997361036407,222.125,227.975
50,230.75,230.75,strong_monsoon_start,0.4-4,common_same_date,230.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,105,230.75,50,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.0577792538558883,1.0288896269279442,228.6922207461441,232.8077792538559,4.115558507711796,0.9544997361036427,227.975,236.2
51,241.65,241.65,strong_monsoon_start,0.4-4,common_same_date,241.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,108,241.65,51,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.1291334523767897,1.0645667261883949,239.52086654762323,243.77913345237678,4.258266904753555,0.9544997361036403,236.2,244.95
52,248.25,248.25,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,248.35,-0.1,Rousseau et al. 2023 Scientific Reports Table 1,7,110,248.25,52,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.173535986415324,1.086767993207662,246.07646401358468,249.7,3.6235359864153054,0.8861858549931005,244.95,249.7
53,251.15,251.15,strong_monsoon_start,0.4-4,common_same_date,251.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,112,251.15,53,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.193337899555148,1.096668949777574,249.7,253.34333789955517,3.6433378995551777,0.884196706752751,249.7,254.95
54,258.75,258.75,strong_monsoon_start,0.4-4,common_same_date,258.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,115,258.75,54,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.246092667862323,1.1230463339311616,256.50390733213766,260.99609266786234,4.492185335724685,0.9544997361036434,254.95,261.375
55,264.0,264.0,strong_monsoon_start,0.4-4,common_same_date,264.0,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,117,264.0,55,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.2832749056461275,1.1416374528230637,261.7167250943539,266.2832749056461,4.566549811292248,0.9544997361036414,261.375,268.425
56,272.85,272.85,strong_monsoon_start,0.4-4,common_same_date,272.85,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,118,272.85,56,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.347351604366262,1.173675802183131,270.50264839563374,275.1973516043663,4.694703208732562,0.9544997361036434,268.425,283.375
57,293.9,293.9,strong_monsoon_start,0.4-4,common_same_date,293.9,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,122,293.9,57,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.5070790985301317,1.2535395492650658,291.39292090146984,296.4070790985301,5.014158197060283,0.9544997361036425,283.375,304.67499999999995
58,315.45,315.45,strong_monsoon_start,0.4-4,common_same_date,315.45,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,124,315.45,58,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.681860411160562,1.340930205580281,312.7681395888394,315.9,3.1318604111605737,0.6086590567370295,304.67499999999995,315.9
59,316.35,316.35,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,316.25,0.1,Rousseau et al. 2023 Scientific Reports Table 1,7,125,316.35,59,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.6894193684185512,1.3447096842092756,315.9,319.0394193684186,3.1394193684186007,0.6083033161017523,315.9,324.4
60,332.45,332.45,strong_monsoon_start,0.4-4,common_same_date,332.45,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,128,332.45,60,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.8282977838193006,1.4141488919096503,329.62170221618067,333.25,3.6282977838193347,0.6914548399626202,324.4,333.25
61,334.05,334.05,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,333.85,0.2,Rousseau et al. 2023 Scientific Reports Table 1,7,129,334.05,61,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.8424852029959453,1.4212426014979727,333.25,335.70000000000005,2.4500000000000455,0.5904144121642969,333.25,335.70000000000005
62,337.35,337.35,strong_monsoon_start,0.4-4,common_same_date,337.35,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,130,337.35,62,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,2.8719719193300244,1.4359859596650122,335.70000000000005,340.22197191933003,4.521971919329985,0.8519793625192855,335.70000000000005,344.4
63,351.45,351.45,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,351.15,0.3,Rousseau et al. 2023 Scientific Reports Table 1,7,133,351.45,63,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,3.0014457948044644,1.5007228974022322,348.44855420519553,354.45144579480444,6.0028915896089075,0.9544997361036409,344.4,358.54999999999995
64,365.65,365.65,strong_monsoon_start,0.4-4,common_same_date,365.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,135,365.65,64,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,3.137736976150992,1.568868488075496,362.51226302384896,366.875,4.362736976151041,0.7597949536051338,358.54999999999995,366.875
65,368.1,368.1,strong_monsoon_start,0.4-4,common_same_date,368.1,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,137,368.1,65,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,3.161870401082037,1.5809352005410184,366.875,369.425,2.5500000000000114,0.5798041225794117,366.875,369.425
66,370.75,370.75,strong_monsoon_start,0.4-4,common_same_date,370.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,140,370.75,66,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,3.188182898148261,1.5940914490741305,369.425,373.35,3.9250000000000114,0.7456253901820709,369.425,373.35
